trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-140.5852740951212,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-159.71143463519195,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-89.91807208317886,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,11,-8.38074078388479,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-101.65370595038445,"{0: 19, 1: 2, 2: 6, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-91.40214318752487,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-184.82143165781602,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-75.94583219203511,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-86.71489976642678,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-111.46459680638546,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,8,-24.266887775075517,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,9,-11.164131173948011,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-135.64286125336588,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-75.69497217079159,"{0: 21, 1: 6, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-131.72987218536662,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,7,-78.26938682605329,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,18,13.869918406550491,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,4,21.995403793546643,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-9.12740795733823,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,7,36.41240054226791,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,28.80517192822115,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,12,14.341136936359462,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-10.818924690297454,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,0,-50.68722090849739,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,9,13.15298072505658,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,0,-3.934938356680436,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",35,0,-19.389341466924293,"{0: 32, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,7,-10.867974986274888,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,0,26.50156401488669,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-9.869195769183074,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
