trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-121.3082983744067,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801}",30,13,-85.86036620057567,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.970299}",25,0,-96.18153541122702,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-108.49434588333801,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-161.86319591022942,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-116.32346140440208,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,10,-20.54941558771282,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-123.55085411840653,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,0,-185.84221280171772,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-106.16628432820127,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,-109.78982834720358,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",30,0,-143.99104338023966,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-141.4024842621709,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-121.00564093615039,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-147.0349104029039,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-112.38066310004746,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,0,-69.7851983438243,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,0,-56.657250258673386,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-79.11205352167894,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",30,0,-95.20306781931704,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",25,0,-56.29353834898824,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",30,12,-47.46991813460335,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",30,10,-105.06272094818894,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-47.72602284478079,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",25,15,-25.866332397194938,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-63.60933170004338,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",35,18,-50.76104138064676,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036326}",30,0,12.341890240051042,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",30,7,-87.33772017853155,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 2}",1
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",30,0,-164.00572039385239,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",20,1,-7.801839532653642,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 0}",1
